forecast;direction;value_numerical_from;value_numerical_to;value_unit;date_numerical;date_unit;category
Considering the CPI has already been published, it is likely to rise to 28%;increase;28;28;%;none;month;other
In the morning at 10:00 a.m., Eurozone money supply data for September will be published (expected to rise 2.2% y/y vs. 2.5% y/y in August);increase;2.2;2.2;%y/y;9;month;other
We expect manufacturing in June to increase by 5% m/m and 17.1% y/y (which is exactly in line with the market consensus);positive;17.1;17.1;%y/y;6;month;IO
Industrial production fell 2.3% y/y in August;negative;2.3;2.3;%y/y;8;month;IO
We forecast a decline in industrial production of 8.3% y/y;negative;8.3;8.3;%y/y;none;month;IO
The decline in inflation and core inflation should continue. In May, inflation should reach the NBP target (2.5%);positive;2.5;2.5;%y/y;5;month;CPI
The annual PPI growth rate will remain very high, moving ever closer to the 10% level. Our forecast is 9.7% y/y;positive;9.7;9.7;%y/y;none;month;PPI
We expect the annual growth rate of the money supply to slow to 16.9%, compared to 17.6% a month ago;positive;16.9;16.9;%y/y;none;month;MS
Industrial output prices probably rose again in June, but probably not as much as in previous months - we expect an increase of 0.4% m/m;positive;0.4;0.4;%m/m;6;month;PPI
We estimate that industrial production fell by 11.5% y/y in January;negative;11.5;11.5;%y/y;1;month;IO
According to our forecast, they fell 0.8% m/m in June.;negative;0.8;0.8;%m/m;6;month;CPI
In July-September, inflation should even fall slightly after a gentle increase in June;none;none;none;%y/y;7;month;CPI
A reduction in inflation in September;none;none;none;%y/y;9;month;month
Today's payrolls and employment should not be a breakthrough in this regard, we expect employment to stabilize and wage growth to be slightly lower than consensus (2.4% y/y vs. 2.7% y/y);positive;2.4;2.4;%y/y;none;month;W
The pace of wage growth in the corporate sector remained at the October level (2.8% y/y).;positive;2.8;2.8;%y/y;none;month;W
At the end of the year, we expect employment to fall below -3% y/y and the unemployment rate even above 13%.;negative;3;3;%y/y;12;month;E
The non-farm payrolls employment data published tomorrow may show a drop of more than 250,000;positive;250;250;other;none;month;other
ADP's labor market report, according to the market, will show a decline of 610k in non-farm private sector employment in February;positive;610000;610000;other;2;month;other
an increase in employment of 190k after an increase of 162k in March;positive;190;190;other;4;month;other
NFP is expected at around 100k;positive;100;100;other;none;month;other
U.S. home sales fall to 4.85 million units in April from 4.93 million in March;positive;4.85;4.85;other;4;month;other
Retail sales for April in the Eurozone fell 0.6% y/y;negative;0.6;0.6;%y/y;4;month;other
We expect personal consumption growth to gradually slow to 1.5% by the end of the year, which will have a negative impact on fiscal revenues;positive;1.5;1.5;%y/y;none;other;other
US retail sales in September will rise 0.4% m/m;positive;0.4;0.4;%m/m;9;month;oher
Thursday's publication of the CSO statistical bulletin with retail sales (negative base on cars, positive on fuels, on clothing and footwear the low base effect disappears, high sales in durable goods in October - interestingly a very similar phenomenon to 2008, inflation on fuels implies an increase in the fuel contribution to over 4pp);positive;none;none;none;10;month;none
In the following months, we expect sales to grow at a single-digit rate due to further deterioration in the labor market.;positive;none;none;none;none;month;RS
The annual growth rate of retail sales will be 1.5%.;positive;1.5;1.5;%y/y;3;month;RS
Hungarian retail sales in May should be better than the month before due to the calendar day effect (up 1.7% y/y in April);positive;1.7;1.7;%y/y;4;month;other
Core sales and the control group will increase 0.3%m/m in our view;positive;0.3;0.3;%m/m;none;month;other
Retail sales, in our view, rose 7.0% y/y in real terms, and 4.8% y/y in nominal terms;positive;4.8;4.8;%y/y;3;month;RS
Our forecast ranks near consensus and is based on a high base from last January (adding about 5pp) and a not bad economy;positive;none;none;none;1;month;RS
Retail sales in Poland may show a not too bad indication (ING 6.8% y/y, consensus 5.9% y/y, previous 6.9% y/y);positive;5.9;5.9;%y/y;none;month;RS
M3 money supply expected to fall by 0.5% y/y after a 0.2% y/y decline in December;negative;0.5;0.5;%y/y;1;month;MS
In the money supply data, we expect faster growth than the market consensus ~ this is due to stable growth in household deposits (over 7% y/y) and a low category base for the other components of M3 (adds about 0.5-0.7pp);positive;none;none;none;none;month;MS
We expect the money supply to have increased by 1.6% m/m and 13.0% y/y in January (consensus 13.0% y/y).;positive;13;13;%y/y;1;month;MS
Construction output rose about 11% y/y in August;positive;11;11;%y/y;8;month;other
Industrial orders will fall 2.5% in January.;negative;2.5;2.5;%y/y;1;month;other
Imports to slow to 19.5% y/y;positive;19.5;19.5;%y/y;5;month;other
Business climate data for January will be released today, and should confirm previously observed trends, i.e., improvement in manufacturing and slightly weaker data for the construction and retail sectors;none;none;none;none;none;none;IO
The construction sector will record another month of double-digit declines in output;negative;11.1;11.1;%y/y;2;month;other
